Id,UserId,IsFrozen,IsPasswordLocked,LastModifiedDate
0Yw0B000004wJfASAU,0050B000007Bh2HQAS,false,false,2016-12-01T21:25:27.000+0000
0Yw0B000004wJfFSAU,0050B000007Bh2MQAS,false,false,2023-11-16T21:12:42.000+0000
0Yw0B000005jnxqSAA,0050B000006vk6FQAQ,false,false,2016-09-12T17:28:10.000+0000
0Yw0B000005k4WrSAI,0050B000006w1TaQAI,true,false,2020-01-31T14:11:00.000+0000
0Yw0B000006R4jmSAC,0050B000006c7LmQAI,false,false,2026-07-14T12:39:04.000+0000
0Yw0B000006R5AiSAK,0050B000006c7n7QAA,false,false,2017-05-30T12:36:00.000+0000
0Yw0B000006R66cSAC,0050B000006c8juQAA,false,false,2026-08-17T23:51:10.000+0000
0Yw0B000006Wy3mSAC,0050B000006pkKKQAY,false,false,2026-08-10T19:58:29.000+0000
0Yw0B000006X1m6SAC,0050B000006po9uQAA,false,false,2017-11-27T13:56:33.000+0000
0Yw0B000006X57WSAS,0050B000006prYnQAI,false,false,2026-08-10T14:58:04.000+0000
0Yw0B000006XMOUSA4,0050B000006q9HBQAY,false,false,2022-10-19T13:43:06.000+0000
0Yw0B000006XR53SAG,0050B000006qEEWQA2,false,false,2018-08-24T11:33:40.000+0000
0Yw0B000006XRmqSAG,0050B000006qEwxQAE,false,false,2023-11-17T16:14:59.000+0000
0Yw0B000006XV4dSAG,0050B000006qIImQAM,false,false,2023-11-17T19:51:05.000+0000
0Yw0B000006XVG5SAO,0050B000006qIUJQA2,false,false,2026-08-11T11:07:36.000+0000
0Yw0B000006XVGASA4,0050B000006qIUOQA2,false,false,2017-09-25T15:02:34.000+0000
0Yw0B000006XVKlSAO,0050B000006qIZJQA2,true,false,2020-10-06T18:27:33.000+0000
0Yw0B000006XYeySAG,0050B000006qM0mQAE,false,false,2018-02-21T20:01:24.000+0000
0Yw0B000006Xb7TSAS,0050B000006qOWfQAM,false,false,2017-11-30T19:02:53.000+0000
0Yw0B000006XqFSSA0,0050B000007zyidQAA,false,false,2018-06-18T12:11:42.000+0000
0Yw0B000006XqJ0SAK,0050B000007zymBQAQ,false,false,2017-11-20T16:50:42.000+0000
0Yw0B000006XyUaSAK,0050B000008078AQAQ,false,false,2017-12-14T18:46:58.000+0000
0Yw0B000006Y6aRSAS,0050B0000080FSmQAM,false,false,2026-08-18T13:21:58.000+0000
0Yw0B000006YCk3SAG,0050B0000080LqfQAE,true,false,2025-01-02T17:31:19.000+0000
0Yw0B000006YCk8SAG,0050B0000080LqkQAE,false,false,2026-05-27T12:15:22.000+0000
0Yw0B000006YF3CSAW,0050B0000080OJPQA2,false,false,2020-01-16T18:38:29.000+0000
0Yw0B000006YFADSA4,0050B0000080OQfQAM,false,false,2023-11-17T16:13:51.000+0000
0Yw0B000006YFAXSA4,0050B0000080OQzQAM,false,false,2020-01-16T18:38:29.000+0000
0Yw0B000006YJtvSAG,0050B0000080TIHQA2,false,false,2025-05-21T18:15:37.000+0000
0Yw0B000006YJu0SAG,0050B0000080TIMQA2,false,false,2026-07-06T14:55:28.000+0000
0Yw0B000006YJu5SAG,0050B0000080TIRQA2,false,false,2018-04-12T14:25:14.000+0000
0Yw0B000006YMhTSAW,0050B0000080WIZQA2,false,false,2018-09-20T15:57:29.000+0000
0Yw0B000006YMhYSAW,0050B0000080WIjQAM,false,false,2026-08-10T13:08:07.000+0000
0Yw0B000006YMhdSAG,0050B0000080WIoQAM,false,false,2026-05-26T12:55:39.000+0000
0Yw0B000006YMjKSAW,0050B0000080WKVQA2,false,false,2024-09-10T15:49:32.000+0000
0Yw0B000006YOYESA4,0050B0000080YEKQA2,false,false,2020-01-16T18:38:28.000+0000
0Yw0B000006YPsKSAW,0050B0000080ZchQAE,false,false,2026-08-10T13:49:16.000+0000
0Yw0B000006YR6DSAW,0050B0000080au3QAA,false,false,2021-10-13T16:25:16.000+0000
0Yw0B000006YTSBSA4,0050B0000080dLzQAI,false,false,2026-08-10T12:07:47.000+0000
0Yw0B000006YTXQSA4,0050B0000080dRTQAY,false,false,2020-01-16T18:38:30.000+0000
0Yw0B000006YTd4SAG,0050B0000080dYtQAI,false,false,2026-08-17T09:56:54.000+0000
0Yw0B000006Yh7lSAC,0050B0000080rX6QAI,false,false,2025-09-25T21:15:59.000+0000
0Yw0B000006YirVSAS,0050B0000080tLMQAY,false,false,2020-04-20T11:59:07.000+0000
